飞机地址码,数据来源,航班号,飞机注册号,航向,经度,维度,垂直加速度,地速,高度,接收机位置,未知 

78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9784,TSNBK1,TSNBK1
780B21,SH,ZH9623,,297.995514,109.522804,21.598022,0,729,10393,ZGBH,ZGBH
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.522804,21.598022,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9784,TSNBK1,TSNBK1
780B21,SH,ZH9623,,297.995514,109.521072,21.598843,0,729,10393,ZGBH,ZGBH
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.522804,21.598022,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,297.995514,109.515862,21.601456,0,729,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9784,TSNBK1,TSNBK1
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9784,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9784,TSNBK1,TSNBK1
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
780B21,SH,ZH9623,,297.995514,109.508972,21.604889,0,729,10393,ZGBH,ZGBH
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,297.995514,109.505203,21.606756,0,729,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9776,TSNBK1,TSNBK1
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,297.995514,109.502777,21.607956,0,729,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9776,TSNBK1,TSNBK1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405014,18.305330,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.042786,23.321089,0,919,10088,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,0,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.248596,41.277145,-19,607,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,297.995514,109.499001,21.609829,19,729,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031B,OKAir,ZH9628,B-6316,250.404938,119.210831,41.266930,-19,607,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,0,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,298.063904,109.497284,21.610703,0,728,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,297.995514,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,0,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.210831,41.266930,-19,607,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,298.063904,109.492081,21.613274,0,728,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,0,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.210831,41.266930,-19,607,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,298.192322,109.488998,21.614822,0,729,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,298.192322,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031B,OKAir,ZH9628,B-6316,250.404938,119.210831,41.266930,-19,607,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,298.715088,109.488998,21.614822,-19,728,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,298.192322,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,0,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.210831,41.266930,0,607,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,299.420959,109.481148,21.618906,-19,731,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,298.192322,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.404938,119.192688,41.262039,0,607,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,300.266876,109.479462,21.619858,-39,731,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,298.192322,109.514160,21.602287,0,729,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.404938,123.483765,41.640244,-19,607,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.240540,119.192688,41.262039,0,608,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,300.914032,109.479462,21.619858,-39,731,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,300.914032,109.473419,21.623245,-39,731,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.240540,123.483765,41.640244,0,608,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.240540,119.192688,41.262039,0,608,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,301.683319,109.471741,21.624214,-39,733,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
780317,HNAir,ZH9996,B-5322,102.916779,111.080414,23.313080,0,919,10081,HAKHU1,HAKHU1
780B21,HNAir,ZH9623,,300.914032,109.473419,21.623245,-39,731,10393,HAKHU1,HAKHU1
78031b,SYAirport,ZH9628,,250.240540,123.483765,41.640244,0,608,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.240540,119.179199,41.258377,0,608,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,301.683319,109.471741,21.624214,-39,733,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.240540,123.483765,41.640244,0,608,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.240540,119.177628,41.257946,0,608,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,302.769897,109.464775,21.628418,-39,735,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.240540,119.177628,41.257946,0,608,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,303.530457,109.463806,21.629055,-39,737,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.240540,119.177628,41.257946,0,608,9776,TSNBK1,TSNBK1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
780B21,SH,ZH9623,,304.249023,109.460182,21.631348,-39,737,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,305.003784,109.456635,21.633663,-39,739,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,306.153748,109.451492,21.637156,-39,740,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,306.784119,109.448341,21.639389,-19,742,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,307.498871,109.446747,21.640503,-19,742,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,308.237213,109.442032,21.643997,-19,745,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,308.637543,109.438934,21.646372,-39,744,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.299347,123.483765,41.640244,0,609,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.678497,109.436211,21.648514,-39,748,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,310.078064,109.436211,21.648514,-19,747,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,310.078064,109.430069,21.653320,0,747,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,310.078064,109.426064,21.656473,0,747,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.425125,21.657211,0,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.422401,21.659361,0,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305328,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,0,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.422401,21.659361,0,749,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.414093,21.665863,-19,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.411926,21.667553,-19,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.411926,21.667553,0,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,351.562500,109.404999,18.305330,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305340,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9776,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.411926,21.667553,0,749,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.403000,21.674561,0,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305340,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.403000,21.674561,0,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305340,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.395950,21.680122,0,749,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405014,18.305342,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.299347,119.177628,41.257946,0,609,9776,TSNBK1,TSNBK1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780B21,SH,ZH9623,,309.986877,109.392242,21.683008,-19,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405014,18.305342,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305340,0,0,0,SYXJD1,SYXJD1
780B21,SH,ZH9623,,309.986877,109.392242,21.683008,-19,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.387024,21.687103,-19,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405006,18.305340,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.382729,21.690491,-19,749,10393,ZGBH,ZGBH
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.381149,21.691668,0,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.376877,21.695066,0,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486252,41.637096,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.373489,21.697723,19,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.357849,123.483765,41.640244,19,611,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.373489,21.697723,19,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.031677,123.483765,41.640244,19,612,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.373489,21.697723,0,749,10393,ZGBH,ZGBH
78031b,SYAirport,ZH9628,,250.031677,123.483765,41.640244,19,612,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405014,18.305342,0,0,0,SYXJD1,SYXJD1
78031b,SYAirport,ZH9628,,250.031677,123.483765,41.640244,19,612,9784,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,0,123.486267,41.637104,0,0,0,ZYTX,ZYTX
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.373489,21.697723,0,749,10393,ZGBH,ZGBH
780319,CapitalAir,ZH9749,B-6313,351.562500,109.405014,18.305342,0,0,0,SYXJD1,SYXJD1
78031B,OKAir,ZH9628,B-6316,250.194595,119.177628,41.257946,19,612,9776,TSNBK1,TSNBK1
780B21,SH,ZH9623,,309.986877,109.373489,21.697723,0,749,10393,ZGBH,ZGBH
